name_1,date_1,duration_str_1,name_2,date_2,duration_str_2,name_3,date_3,duration_str_3,context,duration_type,correct_date,correct_date_expr,correct_end_date,correct_duration,correct_duration_str,correct_duration_length,correct_month,correct_answer
William,2019-11-15,8 months,Joy,2019-10-26,10 weeks,Laura,2019-11-17,6 months,William's mentorship begins on the 15th of November and continues for 8 months. Joy's mentorship begins on the 26th of October and continues for 10 weeks. Laura's mentorship begins on the 17th of November and continues for 6 months. The person whose mentorship ends first is,months,2019-10-26,the 26th of October,2020-01-04,70 days,10 weeks,70,October,Joy
Joy,2019-10-02,21 days,Max,2019-10-31,4 weeks,Maria,2019-11-19,30 days,Joy's mentorship begins on the 2nd of October and continues for 21 days. Max's mentorship begins on the 31st of October and continues for 4 weeks. Maria's mentorship begins on the 19th of November and continues for 30 days. The person whose mentorship ends first is,weeks,2019-10-02,the 2nd of October,2019-10-23,21 days,21 days,21,October,Joy
Ryan,2019-10-27,3 days,Connor,2019-10-30,3 days,Scott,2019-11-07,5 days,"Ryan is taking part in a writing retreat on the 27th of October, which spans 3 days. Connor is taking part in a writing retreat on the 30th of October, which spans 3 days. Scott is taking part in a writing retreat on the 7th of November, which spans 5 days. The person whose writing retreat ends first is",days,2019-10-27,the 27th of October,2019-10-30,3 days,3 days,3,October,Ryan
Mark,2019-11-28,4 days,Leon,2019-10-02,10 days,Jason,2019-11-01,10 days,Mark's trial period begins on the 28th of November and lasts for 4 days. Leon's trial period begins on the 2nd of October and lasts for 10 days. Jason's trial period begins on the 1st of November and lasts for 10 days. The person whose trial period ends first is,days,2019-10-02,the 2nd of October,2019-10-12,10 days,10 days,10,October,Leon
Jack,2019-11-27,1 day,Jason,2019-11-06,9 days,George,2019-11-10,6 days,Jack is going on a road trip starting on the 27th of November and will be traveling for 1 day. Jason is going on a road trip starting on the 6th of November and will be traveling for 9 days. George is going on a road trip starting on the 10th of November and will be traveling for 6 days. The person whose road trip ends first is,days,2019-11-06,the 6th of November,2019-11-15,9 days,9 days,9,November,Jason
Jack,2019-10-24,36 months,Scott,2019-11-05,2 years,Aaron,2019-11-30,18 months,"Jack starts a data science course on the 24th of October, continuing for 36 months. Scott starts a data science course on the 5th of November, continuing for 2 years. Aaron starts a data science course on the 30th of November, continuing for 18 months. The person whose data science course ends first is",years,2019-11-30,the 30th of November,2021-05-23,540 days,18 months,540,November,Aaron
Henry,2019-11-05,8 months,Bob,2019-11-01,8 weeks,Charlie,2019-10-24,1 month,Henry is beginning a writing project on the 5th of November and will be working on it for 8 months. Bob is beginning a writing project on the 1st of November and will be working on it for 8 weeks. Charlie is beginning a writing project on the 24th of October and will be working on it for 1 month. The person whose writing project ends first is,months,2019-10-24,the 24th of October,2019-11-23,30 days,1 month,30,October,Charlie
Kevin,2019-10-09,10 days,Leon,2019-11-27,30 days,Mark,2019-10-13,3 weeks,Kevin is starting a mentorship program on the 9th of October and will be engaged for 10 days. Leon is starting a mentorship program on the 27th of November and will be engaged for 30 days. Mark is starting a mentorship program on the 13th of October and will be engaged for 3 weeks. The person whose mentorship program ends first is,weeks,2019-10-09,the 9th of October,2019-10-19,10 days,10 days,10,October,Kevin
Jason,2019-11-06,9 days,Andrew,2019-10-11,6 days,Mark,2019-11-28,4 days,Jason runs a festival booth on the 6th of November staying open for 9 days. Andrew runs a festival booth on the 11th of October staying open for 6 days. Mark runs a festival booth on the 28th of November staying open for 4 days. The person whose festival booth ends first is,days,2019-10-11,the 11th of October,2019-10-17,6 days,6 days,6,October,Andrew
Leon,2019-10-11,2 years,Scott,2019-10-26,36 months,Laura,2019-11-11,4 years,Leon is starting a language course on the 11th of October and will last for 2 years. Scott is starting a language course on the 26th of October and will last for 36 months. Laura is starting a language course on the 11th of November and will last for 4 years. The person whose language course ends first is,years,2019-10-11,the 11th of October,2021-10-10,730 days,2 years,730,October,Leon
John,2019-10-23,6 weeks,Aaron,2019-11-01,6 months,Charlie,2019-10-30,8 months,John's residency begins on the 23rd of October and goes on for 6 weeks. Aaron's residency begins on the 1st of November and goes on for 6 months. Charlie's residency begins on the 30th of October and goes on for 8 months. The person whose residency ends first is,months,2019-10-23,the 23rd of October,2019-12-04,42 days,6 weeks,42,October,John
Michael,2019-11-11,8 days,George,2019-11-10,6 days,Hunter,2019-11-16,3 days,"Michael is beginning a short course on the 11th of November, running over 8 days. George is beginning a short course on the 10th of November, running over 6 days. Hunter is beginning a short course on the 16th of November, running over 3 days. The person whose course ends first is",days,2019-11-10,the 10th of November,2019-11-16,6 days,6 days,6,November,George
Michael,2019-10-18,3 weeks,Connor,2019-11-09,2 weeks,Dallas,2019-10-29,21 days,Michael is starting a language course on the 18th of October and will last for 3 weeks. Connor is starting a language course on the 9th of November and will last for 2 weeks. Dallas is starting a language course on the 29th of October and will last for 21 days. The person whose language course ends first is,weeks,2019-10-18,the 18th of October,2019-11-08,21 days,3 weeks,21,October,Michael
Brandon,2019-11-09,3 weeks,Dallas,2019-10-23,2 weeks,Rose,2019-11-07,2 weeks,"Brandon is beginning a short course on the 9th of November, running over 3 weeks. Dallas is beginning a short course on the 23rd of October, running over 2 weeks. Rose is beginning a short course on the 7th of November, running over 2 weeks. The person whose course ends first is",weeks,2019-10-23,the 23rd of October,2019-11-06,14 days,2 weeks,14,October,Dallas
Jerry,2019-11-03,18 months,Jack,2019-10-24,36 months,Scott,2019-11-05,2 years,Jerry's subscription starts on the 3rd of November and lasts for 18 months. Jack's subscription starts on the 24th of October and lasts for 36 months. Scott's subscription starts on the 5th of November and lasts for 2 years. The person whose subscription ends first is,years,2019-11-03,the 3rd of November,2021-04-26,540 days,18 months,540,November,Jerry
Josh,2019-10-01,12 months,Marco,2019-10-08,24 months,Richard,2019-10-17,4 years,Josh is starting a consultancy role on the 1st of October and will serve for 12 months. Marco is starting a consultancy role on the 8th of October and will serve for 24 months. Richard is starting a consultancy role on the 17th of October and will serve for 4 years. The person whose consultancy ends first is,years,2019-10-01,the 1st of October,2020-09-25,360 days,12 months,360,October,Josh
Michael,2019-11-11,8 days,Luke,2019-11-01,3 days,Ian,2019-10-14,8 days,Michael is going on a cruise starting on the 11th of November and will be at sea for 8 days. Luke is going on a cruise starting on the 1st of November and will be at sea for 3 days. Ian is going on a cruise starting on the 14th of October and will be at sea for 8 days. The person whose cruise ends first is,days,2019-10-14,the 14th of October,2019-10-22,8 days,8 days,8,October,Ian
Blake,2019-11-22,7 days,Peter,2019-10-19,3 days,Leon,2019-10-02,10 days,Blake is going on a cruise starting on the 22nd of November and will be at sea for 7 days. Peter is going on a cruise starting on the 19th of October and will be at sea for 3 days. Leon is going on a cruise starting on the 2nd of October and will be at sea for 10 days. The person whose cruise ends first is,days,2019-10-02,the 2nd of October,2019-10-12,10 days,10 days,10,October,Leon
Jack,2019-10-24,36 months,William,2019-11-14,12 months,Emily,2019-11-29,36 months,"Jack begins doctoral research on the 24th of October, continuing over a period of 36 months. William begins doctoral research on the 14th of November, continuing over a period of 12 months. Emily begins doctoral research on the 29th of November, continuing over a period of 36 months. The person whose doctoral research ends first is",years,2019-11-14,the 14th of November,2020-11-08,360 days,12 months,360,November,William
Peter,2019-10-19,3 days,Leon,2019-10-02,10 days,Andrew,2019-10-20,10 days,"Peter is beginning a short course on the 19th of October, running over 3 days. Leon is beginning a short course on the 2nd of October, running over 10 days. Andrew is beginning a short course on the 20th of October, running over 10 days. The person whose course ends first is",days,2019-10-02,the 2nd of October,2019-10-12,10 days,10 days,10,October,Leon
Kyle,2019-11-02,2 days,Neil,2019-11-04,4 days,Robert,2019-11-06,1 day,"Kyle begins a seminar on the 2nd of November, lasting for 2 days. Neil begins a seminar on the 4th of November, lasting for 4 days. Robert begins a seminar on the 6th of November, lasting for 1 day. The person whose seminar ends first is",days,2019-11-02,the 2nd of November,2019-11-04,2 days,2 days,2,November,Kyle
Aaron,2019-11-30,18 months,Brandon,2019-11-10,3 years,Neil,2019-10-05,3 years,"Aaron starts a data science course on the 30th of November, continuing for 18 months. Brandon starts a data science course on the 10th of November, continuing for 3 years. Neil starts a data science course on the 5th of October, continuing for 3 years. The person whose data science course ends first is",years,2019-11-30,the 30th of November,2021-05-23,540 days,18 months,540,November,Aaron
Connor,2019-11-07,1 month,Maria,2019-11-08,6 months,John,2019-10-23,6 weeks,Connor is going on vacation starting on the 7th of November and will be away for 1 month. Maria is going on vacation starting on the 8th of November and will be away for 6 months. John is going on vacation starting on the 23rd of October and will be away for 6 weeks. The person whose vacation ends first is,months,2019-10-23,the 23rd of October,2019-12-04,42 days,6 weeks,42,October,John
Max,2019-11-15,7 days,April,2019-11-09,7 days,Scott,2019-11-07,5 days,Max runs a festival booth on the 15th of November staying open for 7 days. April runs a festival booth on the 9th of November staying open for 7 days. Scott runs a festival booth on the 7th of November staying open for 5 days. The person whose festival booth ends first is,days,2019-11-07,the 7th of November,2019-11-12,5 days,5 days,5,November,Scott
William,2019-10-04,2 months,Walker,2019-11-18,4 weeks,Richard,2019-10-14,6 months,William's treatment begins on the 4th of October and is scheduled to last for 2 months. Walker's treatment begins on the 18th of November and is scheduled to last for 4 weeks. Richard's treatment begins on the 14th of October and is scheduled to last for 6 months. The person whose treatment ends first is,months,2019-10-04,the 4th of October,2019-12-03,60 days,2 months,60,October,William
April,2019-11-28,4 weeks,Emily,2019-11-14,2 weeks,Kevin,2019-10-16,7 days,April's treatment begins on the 28th of November and is scheduled to last for 4 weeks. Emily's treatment begins on the 14th of November and is scheduled to last for 2 weeks. Kevin's treatment begins on the 16th of October and is scheduled to last for 7 days. The person whose treatment ends first is,weeks,2019-10-16,the 16th of October,2019-10-23,7 days,7 days,7,October,Kevin
Bob,2019-11-19,2 weeks,Jack,2019-11-28,1 week,Kevin,2019-10-16,7 days,"Bob starts a data science course on the 19th of November, continuing for 2 weeks. Jack starts a data science course on the 28th of November, continuing for 1 week. Kevin starts a data science course on the 16th of October, continuing for 7 days. The person whose data science course ends first is",weeks,2019-10-16,the 16th of October,2019-10-23,7 days,7 days,7,October,Kevin
Leon,2019-11-29,30 days,Rachel,2019-10-04,2 weeks,Maria,2019-10-12,1 week,Leon's conference kicks off on the 29th of November and continues for 30 days. Rachel's conference kicks off on the 4th of October and continues for 2 weeks. Maria's conference kicks off on the 12th of October and continues for 1 week. The person whose conference ends first is,weeks,2019-10-04,the 4th of October,2019-10-18,14 days,2 weeks,14,October,Rachel
Steve,2019-11-09,1 month,Leon,2019-10-25,4 weeks,Walker,2019-11-08,2 months,Steve is beginning a research fellowship on the 9th of November and will last for 1 month. Leon is beginning a research fellowship on the 25th of October and will last for 4 weeks. Walker is beginning a research fellowship on the 8th of November and will last for 2 months. The person whose fellowship ends first is,months,2019-10-25,the 25th of October,2019-11-22,28 days,4 weeks,28,October,Leon
Robert,2019-11-24,6 days,Dallas,2019-10-10,7 days,Rose,2019-11-10,5 days,Robert's trial period begins on the 24th of November and lasts for 6 days. Dallas's trial period begins on the 10th of October and lasts for 7 days. Rose's trial period begins on the 10th of November and lasts for 5 days. The person whose trial period ends first is,days,2019-10-10,the 10th of October,2019-10-17,7 days,7 days,7,October,Dallas
Michael,2019-10-18,3 weeks,Kevin,2019-10-16,7 days,Leon,2019-10-14,10 days,Michael's trial period begins on the 18th of October and lasts for 3 weeks. Kevin's trial period begins on the 16th of October and lasts for 7 days. Leon's trial period begins on the 14th of October and lasts for 10 days. The person whose trial period ends first is,weeks,2019-10-16,the 16th of October,2019-10-23,7 days,7 days,7,October,Kevin
Max,2019-11-15,7 days,Jason,2019-11-06,9 days,Jack,2019-11-27,1 day,"Max is starting a hiking expedition on the 15th of November, which will last for 7 days. Jason is starting a hiking expedition on the 6th of November, which will last for 9 days. Jack is starting a hiking expedition on the 27th of November, which will last for 1 day. The person whose expedition ends first is",days,2019-11-06,the 6th of November,2019-11-15,9 days,9 days,9,November,Jason
Leon,2019-10-25,4 weeks,William,2019-10-04,2 months,Kevin,2019-11-30,4 weeks,Leon is going on vacation starting on the 25th of October and will be away for 4 weeks. William is going on vacation starting on the 4th of October and will be away for 2 months. Kevin is going on vacation starting on the 30th of November and will be away for 4 weeks. The person whose vacation ends first is,months,2019-10-25,the 25th of October,2019-11-22,28 days,4 weeks,28,October,Leon
Rose,2019-11-03,21 days,Kevin,2019-10-09,10 days,Emily,2019-11-02,30 days,Rose runs a festival booth on the 3rd of November staying open for 21 days. Kevin runs a festival booth on the 9th of October staying open for 10 days. Emily runs a festival booth on the 2nd of November staying open for 30 days. The person whose festival booth ends first is,weeks,2019-10-09,the 9th of October,2019-10-19,10 days,10 days,10,October,Kevin
Charlie,2019-10-23,2 days,Marco,2019-10-02,9 days,Neil,2019-11-04,4 days,Charlie leaves for a retreat on the 23rd of October and will be away for 2 days. Marco leaves for a retreat on the 2nd of October and will be away for 9 days. Neil leaves for a retreat on the 4th of November and will be away for 4 days. The person whose retreat ends first is,days,2019-10-02,the 2nd of October,2019-10-11,9 days,9 days,9,October,Marco
Luke,2019-11-01,3 days,Jack,2019-11-27,1 day,Emily,2019-10-11,5 days,Luke runs a festival booth on the 1st of November staying open for 3 days. Jack runs a festival booth on the 27th of November staying open for 1 day. Emily runs a festival booth on the 11th of October staying open for 5 days. The person whose festival booth ends first is,days,2019-10-11,the 11th of October,2019-10-16,5 days,5 days,5,October,Emily
Jason,2019-11-01,10 days,Marco,2019-10-02,9 days,Ryan,2019-10-27,3 days,Jason is going camping on the 1st of November and will be out for 10 days. Marco is going camping on the 2nd of October and will be out for 9 days. Ryan is going camping on the 27th of October and will be out for 3 days. The person whose camping ends first is,days,2019-10-02,the 2nd of October,2019-10-11,9 days,9 days,9,October,Marco
Ian,2019-10-26,8 months,Mark,2019-10-11,8 months,Neil,2019-10-27,6 months,Ian is starting a mentorship program on the 26th of October and will be engaged for 8 months. Mark is starting a mentorship program on the 11th of October and will be engaged for 8 months. Neil is starting a mentorship program on the 27th of October and will be engaged for 6 months. The person whose mentorship program ends first is,months,2019-10-27,the 27th of October,2020-04-24,180 days,6 months,180,October,Neil
Bob,2019-11-23,10 days,Connor,2019-11-09,2 weeks,Michael,2019-10-20,3 weeks,Bob is starting a community service project on the 23rd of November and will be involved for 10 days. Connor is starting a community service project on the 9th of November and will be involved for 2 weeks. Michael is starting a community service project on the 20th of October and will be involved for 3 weeks. The person whose community service ends first is,weeks,2019-10-20,the 20th of October,2019-11-10,21 days,3 weeks,21,October,Michael
Jack,2019-11-27,1 day,George,2019-11-10,6 days,Hunter,2019-11-16,3 days,Jack runs a festival booth on the 27th of November staying open for 1 day. George runs a festival booth on the 10th of November staying open for 6 days. Hunter runs a festival booth on the 16th of November staying open for 3 days. The person whose festival booth ends first is,days,2019-11-10,the 10th of November,2019-11-16,6 days,6 days,6,November,George
Jason,2019-11-10,2 years,Aaron,2019-10-27,2 years,George,2019-10-01,1 year,Jason is starting a consultancy role on the 10th of November and will serve for 2 years. Aaron is starting a consultancy role on the 27th of October and will serve for 2 years. George is starting a consultancy role on the 1st of October and will serve for 1 year. The person whose consultancy ends first is,years,2019-10-01,the 1st of October,2020-09-30,365 days,1 year,365,October,George
William,2019-11-05,7 days,Mark,2019-10-13,3 weeks,Joy,2019-10-02,21 days,William's music tour starts on the 5th of November and lasts for 7 days. Mark's music tour starts on the 13th of October and lasts for 3 weeks. Joy's music tour starts on the 2nd of October and lasts for 21 days. The person whose music tour ends first is,weeks,2019-10-02,the 2nd of October,2019-10-23,21 days,21 days,21,October,Joy
Blake,2019-11-25,1 week,Neil,2019-10-28,4 weeks,Jack,2019-11-28,1 week,"Blake starts a data science course on the 25th of November, continuing for 1 week. Neil starts a data science course on the 28th of October, continuing for 4 weeks. Jack starts a data science course on the 28th of November, continuing for 1 week. The person whose data science course ends first is",weeks,2019-10-28,the 28th of October,2019-11-25,28 days,4 weeks,28,October,Neil
Blake,2019-11-22,7 days,Henry,2019-10-26,5 days,Connor,2019-10-30,3 days,"Blake is starting a coding sprint on the 22nd of November, running for 7 days. Henry is starting a coding sprint on the 26th of October, running for 5 days. Connor is starting a coding sprint on the 30th of October, running for 3 days. The person whose coding sprint ends first is",days,2019-10-26,the 26th of October,2019-10-31,5 days,5 days,5,October,Henry
Aaron,2019-11-30,18 months,Robert,2019-10-02,12 months,Laura,2019-10-25,24 months,"Aaron starts a data science course on the 30th of November, continuing for 18 months. Robert starts a data science course on the 2nd of October, continuing for 12 months. Laura starts a data science course on the 25th of October, continuing for 24 months. The person whose data science course ends first is",years,2019-10-02,the 2nd of October,2020-09-26,360 days,12 months,360,October,Robert
Steve,2019-10-07,1 week,Mark,2019-10-13,3 weeks,Frank,2019-11-07,4 weeks,Steve's probation period starts on the 7th of October and will complete it in 1 week. Mark's probation period starts on the 13th of October and will complete it in 3 weeks. Frank's probation period starts on the 7th of November and will complete it in 4 weeks. The person whose probation period ends first is,weeks,2019-10-07,the 7th of October,2019-10-14,7 days,1 week,7,October,Steve
Andrew,2019-10-20,10 days,Mark,2019-11-28,4 days,Steve,2019-11-16,7 days,Andrew leaves for a retreat on the 20th of October and will be away for 10 days. Mark leaves for a retreat on the 28th of November and will be away for 4 days. Steve leaves for a retreat on the 16th of November and will be away for 7 days. The person whose retreat ends first is,days,2019-10-20,the 20th of October,2019-10-30,10 days,10 days,10,October,Andrew
Hope,2019-11-25,10 weeks,Mark,2019-10-11,8 months,Kevin,2019-11-30,4 weeks,Hope's exchange starts on the 25th of November and goes on for 10 weeks. Mark's exchange starts on the 11th of October and goes on for 8 months. Kevin's exchange starts on the 30th of November and goes on for 4 weeks. The person whose exchange ends first is,months,2019-11-30,the 30th of November,2019-12-28,28 days,4 weeks,28,November,Kevin
Maria,2019-10-16,3 years,Connor,2019-10-27,4 years,Aaron,2019-11-30,18 months,Maria's residency begins on the 16th of October and goes on for 3 years. Connor's residency begins on the 27th of October and goes on for 4 years. Aaron's residency begins on the 30th of November and goes on for 18 months. The person whose residency ends first is,years,2019-11-30,the 30th of November,2021-05-23,540 days,18 months,540,November,Aaron
Leon,2019-10-02,10 days,George,2019-11-12,9 days,Laura,2019-10-23,3 days,Leon's guided hike begins on the 2nd of October and lasts for 10 days. George's guided hike begins on the 12th of November and lasts for 9 days. Laura's guided hike begins on the 23rd of October and lasts for 3 days. The person whose hike ends first is,days,2019-10-02,the 2nd of October,2019-10-12,10 days,10 days,10,October,Leon
Aaron,2019-10-31,6 weeks,Alice,2019-11-07,6 weeks,Ian,2019-10-26,8 months,Aaron is beginning a research fellowship on the 31st of October and will last for 6 weeks. Alice is beginning a research fellowship on the 7th of November and will last for 6 weeks. Ian is beginning a research fellowship on the 26th of October and will last for 8 months. The person whose fellowship ends first is,months,2019-10-31,the 31st of October,2019-12-12,42 days,6 weeks,42,October,Aaron
Walker,2019-11-18,4 weeks,Grant,2019-10-11,6 months,John,2019-10-23,6 weeks,Walker is starting a community service project on the 18th of November and will be involved for 4 weeks. Grant is starting a community service project on the 11th of October and will be involved for 6 months. John is starting a community service project on the 23rd of October and will be involved for 6 weeks. The person whose community service ends first is,months,2019-10-23,the 23rd of October,2019-12-04,42 days,6 weeks,42,October,John
Josh,2019-11-28,14 days,Richard,2019-10-05,3 weeks,Brandon,2019-11-04,1 week,Josh's exchange starts on the 28th of November and goes on for 14 days. Richard's exchange starts on the 5th of October and goes on for 3 weeks. Brandon's exchange starts on the 4th of November and goes on for 1 week. The person whose exchange ends first is,weeks,2019-10-05,the 5th of October,2019-10-26,21 days,3 weeks,21,October,Richard
Henry,2019-10-21,10 days,Matt,2019-11-21,4 weeks,Mark,2019-10-13,3 weeks,Henry runs a festival booth on the 21st of October staying open for 10 days. Matt runs a festival booth on the 21st of November staying open for 4 weeks. Mark runs a festival booth on the 13th of October staying open for 3 weeks. The person whose festival booth ends first is,weeks,2019-10-21,the 21st of October,2019-10-31,10 days,10 days,10,October,Henry
Blake,2019-11-22,7 days,Max,2019-10-22,2 days,Peter,2019-10-19,3 days,Blake is starting a workshop on the 22nd of November lasting 7 days. Max is starting a workshop on the 22nd of October lasting 2 days. Peter is starting a workshop on the 19th of October lasting 3 days. The person whose workshop ends first is,days,2019-10-19,the 19th of October,2019-10-22,3 days,3 days,3,October,Peter
Mark,2019-10-13,3 weeks,April,2019-11-28,4 weeks,Maria,2019-11-19,30 days,Mark is going on a cruise starting on the 13th of October and will be at sea for 3 weeks. April is going on a cruise starting on the 28th of November and will be at sea for 4 weeks. Maria is going on a cruise starting on the 19th of November and will be at sea for 30 days. The person whose cruise ends first is,weeks,2019-10-13,the 13th of October,2019-11-03,21 days,3 weeks,21,October,Mark
Grant,2019-10-11,6 months,Laura,2019-11-17,6 months,Alex,2019-11-21,3 months,Grant is starting a remote assignment on the 11th of October and will work for 6 months. Laura is starting a remote assignment on the 17th of November and will work for 6 months. Alex is starting a remote assignment on the 21st of November and will work for 3 months. The person whose remote work ends first is,months,2019-11-21,the 21st of November,2020-02-19,90 days,3 months,90,November,Alex
Mark,2019-11-28,4 days,Henry,2019-10-26,5 days,George,2019-11-10,6 days,Mark is starting a workshop on the 28th of November lasting 4 days. Henry is starting a workshop on the 26th of October lasting 5 days. George is starting a workshop on the 10th of November lasting 6 days. The person whose workshop ends first is,days,2019-10-26,the 26th of October,2019-10-31,5 days,5 days,5,October,Henry
Neil,2019-10-26,10 days,Bob,2019-11-19,2 weeks,Leon,2019-11-27,30 days,Neil is going camping on the 26th of October and will be out for 10 days. Bob is going camping on the 19th of November and will be out for 2 weeks. Leon is going camping on the 27th of November and will be out for 30 days. The person whose camping ends first is,weeks,2019-10-26,the 26th of October,2019-11-05,10 days,10 days,10,October,Neil
Leon,2019-11-29,30 days,April,2019-11-28,4 weeks,Kevin,2019-10-09,10 days,"Leon is attending a first aid course on the 29th of November, lasting 30 days. April is attending a first aid course on the 28th of November, lasting 4 weeks. Kevin is attending a first aid course on the 9th of October, lasting 10 days. The person whose first aid course ends first is",weeks,2019-10-09,the 9th of October,2019-10-19,10 days,10 days,10,October,Kevin
Henry,2019-11-09,5 days,Grant,2019-11-29,8 days,Alex,2019-11-23,8 days,"Henry is taking part in a writing retreat on the 9th of November, which spans 5 days. Grant is taking part in a writing retreat on the 29th of November, which spans 8 days. Alex is taking part in a writing retreat on the 23rd of November, which spans 8 days. The person whose writing retreat ends first is",days,2019-11-09,the 9th of November,2019-11-14,5 days,5 days,5,November,Henry
Dallas,2019-11-17,5 days,George,2019-11-12,9 days,Blake,2019-11-22,7 days,Dallas is leaving for a business trip on the 17th of November and will be gone for 5 days. George is leaving for a business trip on the 12th of November and will be gone for 9 days. Blake is leaving for a business trip on the 22nd of November and will be gone for 7 days. The person whose business trip ends first is,days,2019-11-12,the 12th of November,2019-11-21,9 days,9 days,9,November,George
Hunter,2019-11-16,3 days,Emily,2019-10-11,5 days,Tyler,2019-11-17,6 days,Hunter's trial period begins on the 16th of November and lasts for 3 days. Emily's trial period begins on the 11th of October and lasts for 5 days. Tyler's trial period begins on the 17th of November and lasts for 6 days. The person whose trial period ends first is,days,2019-10-11,the 11th of October,2019-10-16,5 days,5 days,5,October,Emily
Rose,2019-11-07,2 weeks,Dallas,2019-10-23,2 weeks,Max,2019-10-31,4 weeks,Rose is leaving for a business trip on the 7th of November and will be gone for 2 weeks. Dallas is leaving for a business trip on the 23rd of October and will be gone for 2 weeks. Max is leaving for a business trip on the 31st of October and will be gone for 4 weeks. The person whose business trip ends first is,weeks,2019-10-23,the 23rd of October,2019-11-06,14 days,2 weeks,14,October,Dallas
Kevin,2019-11-01,6 days,Robert,2019-11-06,1 day,Andrew,2019-10-20,10 days,Kevin's conference kicks off on the 1st of November and continues for 6 days. Robert's conference kicks off on the 6th of November and continues for 1 day. Andrew's conference kicks off on the 20th of October and continues for 10 days. The person whose conference ends first is,days,2019-10-20,the 20th of October,2019-10-30,10 days,10 days,10,October,Andrew
Steve,2019-11-09,1 month,John,2019-10-23,6 weeks,Aaron,2019-11-01,6 months,Steve's subscription starts on the 9th of November and lasts for 1 month. John's subscription starts on the 23rd of October and lasts for 6 weeks. Aaron's subscription starts on the 1st of November and lasts for 6 months. The person whose subscription ends first is,months,2019-10-23,the 23rd of October,2019-12-04,42 days,6 weeks,42,October,John
Blake,2019-10-22,7 days,Max,2019-11-15,7 days,Neil,2019-11-04,4 days,Blake leaves for a retreat on the 22nd of October and will be away for 7 days. Max leaves for a retreat on the 15th of November and will be away for 7 days. Neil leaves for a retreat on the 4th of November and will be away for 4 days. The person whose retreat ends first is,days,2019-10-22,the 22nd of October,2019-10-29,7 days,7 days,7,October,Blake
Hope,2019-10-12,3 weeks,Steve,2019-10-07,1 week,Maria,2019-11-19,30 days,Hope is starting a community service project on the 12th of October and will be involved for 3 weeks. Steve is starting a community service project on the 7th of October and will be involved for 1 week. Maria is starting a community service project on the 19th of November and will be involved for 30 days. The person whose community service ends first is,weeks,2019-10-07,the 7th of October,2019-10-14,7 days,1 week,7,October,Steve
Leon,2019-10-14,10 days,Dallas,2019-10-23,2 weeks,Kevin,2019-10-16,7 days,Leon is starting a language course on the 14th of October and will last for 10 days. Dallas is starting a language course on the 23rd of October and will last for 2 weeks. Kevin is starting a language course on the 16th of October and will last for 7 days. The person whose language course ends first is,weeks,2019-10-16,the 16th of October,2019-10-23,7 days,7 days,7,October,Kevin
Hunter,2019-11-18,25 days,Blake,2019-11-25,1 week,Rose,2019-11-03,21 days,"Hunter is attending a first aid course on the 18th of November, lasting 25 days. Blake is attending a first aid course on the 25th of November, lasting 1 week. Rose is attending a first aid course on the 3rd of November, lasting 21 days. The person whose first aid course ends first is",weeks,2019-11-03,the 3rd of November,2019-11-24,21 days,21 days,21,November,Rose
Hope,2019-10-12,3 weeks,Luke,2019-11-15,25 days,Rachel,2019-10-04,2 weeks,Hope leaves for a retreat on the 12th of October and will be away for 3 weeks. Luke leaves for a retreat on the 15th of November and will be away for 25 days. Rachel leaves for a retreat on the 4th of October and will be away for 2 weeks. The person whose retreat ends first is,weeks,2019-10-04,the 4th of October,2019-10-18,14 days,2 weeks,14,October,Rachel
Laura,2019-11-17,6 months,Alice,2019-11-27,8 months,Alex,2019-11-08,6 weeks,Laura is beginning a research fellowship on the 17th of November and will last for 6 months. Alice is beginning a research fellowship on the 27th of November and will last for 8 months. Alex is beginning a research fellowship on the 8th of November and will last for 6 weeks. The person whose fellowship ends first is,months,2019-11-08,the 8th of November,2019-12-20,42 days,6 weeks,42,November,Alex
Andrew,2019-11-08,10 days,Jason,2019-11-01,10 days,Peter,2019-10-19,3 days,Andrew runs a festival booth on the 8th of November staying open for 10 days. Jason runs a festival booth on the 1st of November staying open for 10 days. Peter runs a festival booth on the 19th of October staying open for 3 days. The person whose festival booth ends first is,days,2019-10-19,the 19th of October,2019-10-22,3 days,3 days,3,October,Peter
Jerry,2019-11-03,18 months,Alex,2019-10-05,4 years,Scott,2019-11-05,2 years,Jerry is starting a consultancy role on the 3rd of November and will serve for 18 months. Alex is starting a consultancy role on the 5th of October and will serve for 4 years. Scott is starting a consultancy role on the 5th of November and will serve for 2 years. The person whose consultancy ends first is,years,2019-11-03,the 3rd of November,2021-04-26,540 days,18 months,540,November,Jerry
Jack,2019-10-24,36 months,Connor,2019-10-27,4 years,Brandon,2019-11-07,4 years,Jack is starting a remote assignment on the 24th of October and will work for 36 months. Connor is starting a remote assignment on the 27th of October and will work for 4 years. Brandon is starting a remote assignment on the 7th of November and will work for 4 years. The person whose remote work ends first is,years,2019-10-24,the 24th of October,2022-10-08,1080 days,36 months,1080,October,Jack
Connor,2019-11-09,2 weeks,Richard,2019-10-05,3 weeks,Leon,2019-11-29,30 days,Connor is starting a language course on the 9th of November and will last for 2 weeks. Richard is starting a language course on the 5th of October and will last for 3 weeks. Leon is starting a language course on the 29th of November and will last for 30 days. The person whose language course ends first is,weeks,2019-10-05,the 5th of October,2019-10-26,21 days,3 weeks,21,October,Richard
