sentence,datetime,date_idx_start,date_idx_end,event,verb,event_idx_start,event_idx_end,verb_idx_start,verb_idx_end
The product launched on the 1st of December and was a great success,2019-12-01,21,43,product launched,launched,4,20,12,20
"The concert was postponed to on the 30th of September, due to unexpected weather conditions",2019-09-30,29,53,concert was postponed to,was postponed,4,28,12,25
"The film came out on the 30th of May, receving a mixed reception",2019-05-30,18,36,film came out,came out,4,17,9,17
I'll go buy groceries on the 20th of October,2019-10-20,22,44,buy groceries,go,8,21,5,7
"I met him for the first time on the 10th of April, and we immediately hit it off",2019-04-10,29,49,met him for the first time,met,2,28,2,5
We watched the movie together on the 30th of June,2019-06-30,30,49,watched the movie together,watched,3,29,3,10
"on the 10th of May, he finally talked to me",2019-05-10,0,18,talked to me,talked,31,43,31,37
"I'll call you back on the 10th of April, once I have more information",2019-04-10,19,39,call you back,call,5,18,5,9
He had to wait until on the 20th of February to get a table,2019-02-20,21,44,wait until on the 20th of February to get a table,had to wait,10,59,3,14
"The concert was postponed to on the 1st of November, due to unexpected weather conditions",2019-11-01,29,51,concert was postponed,postponed,4,25,16,25
"The concert was postponed to on the 30th of July, due to unexpected weather conditions",2019-07-30,29,48,concert was postponed to,was postponed,4,28,12,25
"The store is expected to restock the item on the 1st of October, according to their website",2019-10-01,42,63,restock the item,restock,25,41,25,32
I'll go buy groceries on the 1st of April,2019-04-01,22,41,buy groceries,go,8,21,5,7
"I last saw them on the 10th of May, and we had a great time catching up",2019-05-10,16,34,saw them,last,7,15,2,6
"on the 10th of September, he finally talked to me",2019-09-10,0,24,talked to me,talked,37,49,37,43
I was watching a video on the 20th of July which explained the subject really well,2019-07-20,23,42,watching a video,was watching,6,22,2,14
"We’re planning to visit them on the 20th of February, if everything goes as expected",2019-02-20,29,52,visit them,planning,18,28,6,14
"Their anniversary celebration took place on the 30th of July, and it was beautiful",2019-07-30,41,60,anniversary celebration took place,took place,6,40,30,40
"I'll call you back on the 20th of August, once I have more information",2019-08-20,19,40,call you back,call,5,18,5,9
"I know they are leaving on the 10th of May, but I don't know when they will return",2019-05-10,24,42,leaving on the 10th of May,leaving,16,42,16,23
Our meeting is set on the 20th of June,2019-06-20,19,38,meeting is set,is set,4,18,12,18
We watched the movie together on the 30th of September,2019-09-30,30,54,watched the movie together,watched,3,29,3,10
"I met him for the first time on the 1st of March, and we immediately hit it off",2019-03-01,29,48,met him for the first time,met,2,28,2,5
That matter was concluded on the 20th of February,2019-02-20,26,49,matter was concluded,was concluded,5,25,12,25
"The new law goes into effect on the 1st of August, changing several regulations",2019-08-01,29,49,new law goes into effect,goes,4,28,12,16
"His resignation was officially announced on the 30th of October, shocking many employees",2019-10-30,41,63,resignation was officially announced,was officially announced,4,40,16,40
"The film came out on the 10th of December, receving a mixed reception",2019-12-10,18,41,film came out,came out,4,17,9,17
"His resignation was officially announced on the 30th of November, shocking many employees",2019-11-30,41,64,resignation was officially announced,was officially announced,4,40,16,40
"The concert was postponed to on the 30th of January, due to unexpected weather conditions",2019-01-30,29,51,concert was postponed,postponed,4,25,16,25
"The store is expected to restock the item on the 10th of September, according to their website",2019-09-10,42,66,restock the item,expected,25,41,13,21
"The new law goes into effect on the 1st of January, changing several regulations",2019-01-01,29,50,law goes into effect,goes,8,28,12,16
"The new law goes into effect on the 30th of October, changing several regulations",2019-10-30,29,51,new law goes into effect,goes into effect,4,28,12,28
"The store is expected to restock the item on the 1st of February, according to their website",2019-02-01,42,64,restock the item,expected to restock,25,41,13,32
"The film came out on the 20th of March, receving a mixed reception",2019-03-20,18,38,film came out,came out,4,17,9,17
"I met him for the first time on the 1st of November, and we immediately hit it off",2019-11-01,29,51,met him for the first time,met,2,28,2,5
"The film came out on the 1st of July, receving a mixed reception",2019-07-01,18,36,film came out,came out,4,17,9,17
That matter was concluded on the 20th of January,2019-01-20,26,48,matter was concluded,was concluded,5,25,12,25
"I met him for the first time on the 1st of April, and we immediately hit it off",2019-04-01,29,48,met him for the first time,met,2,28,2,5
"We’re planning to visit them on the 30th of August, if everything goes as expected",2019-08-30,29,50,visit them,planning,18,28,6,14
"I'll call you back on the 20th of June, once I have more information",2019-06-20,19,38,call you back,call,5,18,5,9
"The new law goes into effect on the 30th of May, changing several regulations",2019-05-30,29,47,new law goes into effect,goes into effect,4,28,12,28
He had to wait until on the 30th of June to get a table,2019-06-30,21,40,wait until on the 30th of June to get a table,wait,10,55,10,14
The product launched on the 30th of October and was a great success,2019-10-30,21,43,product launched,launched,4,20,12,20
The product launched on the 10th of January and was a great success,2019-01-10,21,43,product launched,launched,4,20,12,20
"The concert was postponed to on the 10th of June, due to unexpected weather conditions",2019-06-10,29,48,concert was postponed to,was postponed,4,28,12,25
"on the 1st of June, he finally talked to me",2019-06-01,0,18,talked to me,talked,31,43,31,37
"The new law goes into effect on the 20th of January, changing several regulations",2019-01-20,29,51,new law goes into effect,goes,4,28,12,16
"The film came out on the 20th of October, receving a mixed reception",2019-10-20,18,40,film came out,came out,4,17,9,17
"Their anniversary celebration took place on the 1st of August, and it was beautiful",2019-08-01,41,61,anniversary celebration took place,took place,6,40,30,40
"The film came out on the 20th of August, receving a mixed reception",2019-08-20,18,39,film came out,came out,4,17,9,17
"I met him for the first time on the 30th of November, and we immediately hit it off",2019-11-30,29,52,met him for the first time,met,2,28,2,5
We watched the movie together on the 10th of January,2019-01-10,30,52,watched the movie together,watched,3,29,3,10
"We’re planning to visit them on the 1st of June, if everything goes as expected",2019-06-01,29,47,visit them,planning,18,28,6,14
"The concert was postponed to on the 30th of March, due to unexpected weather conditions",2019-03-30,29,49,concert was postponed,was postponed,4,25,12,25
"The store is expected to restock the item on the 1st of August, according to their website",2019-08-01,42,62,restock the item,expected,25,41,13,21
"I met him for the first time on the 10th of August, and we immediately hit it off",2019-08-10,29,50,met him for the first time,met,2,28,2,5
"The new law goes into effect on the 20th of December, changing several regulations",2019-12-20,29,52,new law goes into effect,goes,4,28,12,16
"on the 20th of November, he finally talked to me",2019-11-20,0,23,talked to me,talked,36,48,36,42
"The film came out on the 30th of March, receving a mixed reception",2019-03-30,18,38,film came out,came out,4,17,9,17
He had to wait until on the 30th of July to get a table,2019-07-30,21,40,wait until on the 30th of July to get a table,had to wait,10,55,3,14
We watched the movie together on the 20th of February,2019-02-20,30,53,watched the movie together,watched,3,29,3,10
She went to the doctor on the 20th of October,2019-10-20,23,45,went to the doctor,went,4,22,4,8
We watched the movie together on the 10th of April,2019-04-10,30,50,watched the movie together,watched,3,29,3,10
"His resignation was officially announced on the 10th of July, shocking many employees",2019-07-10,41,60,resignation was officially announced,was officially announced,4,40,16,40
That matter was concluded on the 30th of January,2019-01-30,26,48,matter was concluded,was concluded,5,25,12,25
"We’re planning to visit them on the 1st of January, if everything goes as expected",2019-01-01,29,50,visit them,planning,18,28,6,14
"Their anniversary celebration took place on the 20th of January, and it was beautiful",2019-01-20,41,63,anniversary celebration took place,took place,6,40,30,40
He had to wait until on the 20th of April to get a table,2019-04-20,21,41,wait until on the 20th of April to get a table,had to wait,10,56,3,14
"The concert was postponed to on the 20th of February, due to unexpected weather conditions",2019-02-20,29,52,concert was postponed,postponed,4,25,16,25
"I'll call you back on the 10th of August, once I have more information",2019-08-10,19,40,call you back,call,5,18,5,9
That matter was concluded on the 30th of September,2019-09-30,26,50,matter was concluded,was concluded,5,25,12,25
I was watching a video on the 20th of September which explained the subject really well,2019-09-20,23,47,watching a video,was watching,6,22,2,14
"His resignation was officially announced on the 20th of December, shocking many employees",2019-12-20,41,64,resignation was officially announced,was officially announced,4,40,16,40
"I know they are leaving on the 20th of September, but I don't know when they will return",2019-09-20,24,48,leaving,leaving,16,23,16,23
"I met him for the first time on the 10th of September, and we immediately hit it off",2019-09-10,29,53,met him for the first time,met,2,28,2,5
He had to wait until on the 1st of April to get a table,2019-04-01,21,40,wait until on the 1st of April to get a table,wait,10,55,10,14
"Their anniversary celebration took place on the 20th of October, and it was beautiful",2019-10-20,41,63,anniversary celebration took place,took place,6,40,30,40
That matter was concluded on the 20th of April,2019-04-20,26,46,matter was concluded,was concluded,5,25,12,25
That matter was concluded on the 10th of April,2019-04-10,26,46,matter was concluded,was concluded,5,25,12,25
He had to wait until on the 10th of October to get a table,2019-10-10,21,43,wait until on the 10th of October to get a table,had to wait,10,58,3,14
That matter was concluded on the 1st of July,2019-07-01,26,44,matter was concluded,was concluded,5,25,12,25
That matter was concluded on the 30th of November,2019-11-30,26,49,matter was concluded,was concluded,5,25,12,25
"I last saw them on the 1st of May, and we had a great time catching up",2019-05-01,16,33,last saw them,saw,2,15,7,10
"I last saw them on the 20th of October, and we had a great time catching up",2019-10-20,16,38,last saw them,last,2,15,2,6
Our meeting is set on the 1st of February,2019-02-01,19,41,meeting is set,set,4,18,15,18
"I'll call you back on the 10th of February, once I have more information",2019-02-10,19,42,call you back,call,5,18,5,9
He had to wait until on the 20th of July to get a table,2019-07-20,21,40,wait until on the 20th of July to get a table,wait,10,55,10,14
"I know they are leaving on the 1st of February, but I don't know when they will return",2019-02-01,24,46,leaving,are leaving,16,23,12,23
"on the 1st of December, he finally talked to me",2019-12-01,0,22,talked to me,talked,35,47,35,41
I'll go buy groceries on the 30th of December,2019-12-30,22,45,buy groceries,go,8,21,5,7
"Their anniversary celebration took place on the 30th of April, and it was beautiful",2019-04-30,41,61,anniversary celebration took place,took place,6,40,30,40
"The concert was postponed to on the 10th of March, due to unexpected weather conditions",2019-03-10,29,49,concert was postponed to,was postponed,4,28,12,25
He had to wait until on the 20th of August to get a table,2019-08-20,21,42,wait until on the 20th of August to get a table,had to wait,10,57,3,14
Our meeting is set on the 1st of November,2019-11-01,19,41,meeting is set,is set,4,18,12,18
"We’re planning to visit them on the 30th of December, if everything goes as expected",2019-12-30,29,52,visit them,planning,18,28,6,14
That matter was concluded on the 20th of June,2019-06-20,26,45,matter was concluded,was concluded,5,25,12,25
"The concert was postponed to on the 10th of August, due to unexpected weather conditions",2019-08-10,29,50,concert was postponed,was postponed,4,25,12,25
"I know they are leaving on the 1st of November, but I don't know when they will return",2019-11-01,24,46,leaving,leaving,16,23,16,23
I was watching a video on the 30th of November which explained the subject really well,2019-11-30,23,46,watching a video,was watching,6,22,2,14
"The store is expected to restock the item on the 10th of January, according to their website",2019-01-10,42,64,restock the item,is expected to restock,25,41,10,32
I was watching a video on the 1st of March which explained the subject really well,2019-03-01,23,42,watching a video,was watching,6,22,2,14
He had to wait until on the 30th of March to get a table,2019-03-30,21,41,wait until on the 30th of March to get a table,had to wait,10,56,3,14
"I last saw them on the 1st of April, and we had a great time catching up",2019-04-01,16,35,saw them,last,7,15,2,6
That matter was concluded on the 1st of September,2019-09-01,26,49,matter was concluded,was concluded,5,25,12,25
Our meeting is set on the 10th of June,2019-06-10,19,38,meeting is set,is set,4,18,12,18
"His resignation was officially announced on the 10th of January, shocking many employees",2019-01-10,41,63,resignation was officially announced,was officially announced,4,40,16,40
"Their anniversary celebration took place on the 30th of May, and it was beautiful",2019-05-30,41,59,anniversary celebration took place,took place,6,40,30,40
"His resignation was officially announced on the 20th of March, shocking many employees",2019-03-20,41,61,resignation was officially announced,was officially announced,4,40,16,40
